Snowberry Clearwing, Hemaris diffinis
Hummingbird Clearwin, Hemaris thysbe
Spurge hawkmoth, Hyles euphorbiae
White-lined Sphinx, Hyles lineata
Falcon sphinx, Xylophanes falco
Tersa Sphinx, Xylophanes tersa
Sigmoid Prominent, Clostera albosigma
Angle-Lined Prominent, Clostera inclusa
Black-Spotted Prominent, Dasylophia anguina
Angus's Datana, Datana angusii
White Furcula, Furcula borealis
Zigzag Furcula Moth, Furcula scolopendrina
Wavy-lined Heterocampa, Heterocampa biundata
Pink Prominent, Hyparpax aurora
Georgian Prominent, Hyperaeschra georgica
White-dotted Prominent, Nadata gibbosa
Black-rimmed Prominent, Pheosia rimosa
Unicorn Caterpillar Moth, Schizura unicornis
Eight-Spot, Amyna axis
Tufted Bird-Dropping Moth, Cerma cerintha
Owl-eyed Bird-dropping Moth, Cerma cora
Black Wedge-spot, Homophoberia apicosa
Green Leuconycta, Leuconycta diphteroides
Small Mossy Lithacodia, Lithacodia musta
Black-bordered Lemon Moth, Marimatha nigrofimbria
The White-Edge, Oruza albocostaliata
Olive-shaded Bird-dropping Moth, Ponometia candefacta
Small Bird-dropping Moth, Ponometia erastrioides
Half-yellow Moth, Ponometia semiflava
Large Mossy Lithacodia, Protodeltote muscosula
Yellow Spragueia, Spragueia apicalis
Southern Spragueia, Spragueia dama
Common Spragueia, Spragueia leo
Black-dotted Spragueia, Spragueia onagrus
Exposed Bird-dropping Moth, Tarache aprica
American Dagger Moth, Acronicta americana
Exiled Dagger Moth, Acronicta exilis
Speared Dagger Moth, Acronicta hasta
Yellow-haired Dagger Moth, Acronicta impleta
Interrupted Dagger Moth, Acronicta interrupta
The Green Marvel, Agriopodes fallax
Harris' Three Spot, Harrisimemna trisignata
The Hebrew, Polygrammate hebraeicum
Henry's Marsh Moth, Simyra insularis
Copper Underwing, Amphipyra pyramidoides
Wood-colored Apamea, Apamea lignicolora
Obtuse Yellow, Azenia obtusa
White-blotched Balsa, Balsa labecula
Silver-spotted Fern Moth, Callopistria cordata
Florida Callopistria Moth, Callopistria floridensis
Cloaked Marvel, Chytonix palliatricula
Mobile Groundling, Condica mobilis
Dusky Groundling, Condica vecors
White-dotted Groundling, Condica videns
Verbena Moth, Crambodes talidiformis
Pale-winged Midget, Elaphria alapallida
Beloved Emarginea Moth, Emarginea percara
American Angle Shades, Euplexia benesimilis
Marsh Fern Moth, Fagitana littera
The Wedgling, Galgula partita
Iodopepla u album
Even-lined Sallow, Ipimorpha pleonectusa
Exhausted Brocade, Neoligia exhausta
Common Pinkband, Ogdoconta cinereola
Black-banded Brocade, Oligia modica
Northern Burdock Borer Moth, Papaipema arctivorens
Papaipema baptisiae
Burdock Borer Moth, Papaipema cataphracta
Aster Borer Moth, Papaipema impecuniosa
Stalk Borer Moth, Papaipema nebris
Spotted Phosphila, Phosphila miselioides
Black-barred Brown, Plagiomimicus pityochromus
Dolichos Armyworm Moth, Spodoptera dolichos
Beet Armyworm Moth, Spodoptera exigua
Fall Armyworm Moth, Spodoptera frugiperda
Yellow-striped Armyworm Moth, Spodoptera ornithogalli
Straight Lined Mallow Moth, Bagisara rectifascia
Wavy Lined Mallow Moth, Bagisara repanda
Grote's Sallow, Copivaleria grotei
Cucullia antipoda
The Asteroid, Cucullia asteroides
Brown-hooded Owlet, Cucullia convexipennis
Intermediate Cucullia, Cucullia intermedia
Morrison's Sallow, Eupsilia morrisoni
Straight-toothed Sallow, Eupsilia vinulenta
Comstock's Sallow, Feralia comstocki
Ashen Pinion, Lithophane antennata
Chosen Sallow, Psaphida electilis
Figure-Eight Sallow, Psaphida resumens
Roland's Sallow, Psaphida rolandi
Fawn Sallow, Psaphida styracis
Bicolored Sallow, Sunira bicolorago
Curved Halter Moth, Capis curvata
Black-dotted Maliattha, Maliattha synochitis
Pink-barred Pseudeustrotia, Pseudeustrotia carneola
Sympistis kappa
The Laugher, Charadra deridens
Closebanded Yellowhorn Moth, Colocasia propinquilinea
Black Zigzag, Panthea acronyctoides
Eastern Panthea, Panthea furcilla
Variegated Brindle Moth, Abrostola urentis
Unspotted Looper Moth, Allagrapha aerea
Celery Looper Moth, Anagrapha falcifera
Large Looper Moth, Autographa ampla
Two-Spotted Looper Moth, Autographa bimaculata
The Common Looper Moth, Autographa precationis
Soybean Looper Moth, Chrysodeixis includens
Hologram Moth, Diachrysia balluca
Pink-washed Looper Moth, Enigmogramma basigera
Bilobed Looper Moth, Megalographa biloba
Gray Looper Moth, Rachiplusia ou
Cabbage Looper Moth, Trichoplusia ni
Major Sallow, Feralia major
Distinct Quaker, Achatia distincta
Norman's Quaker, Crocigrapha normani
Wheat Head Armyworm Moth, Dargida diffusa
The Pink-Streak, Dargida rubripennis
Chalcedony Midget, Elaphria chalcedonia
Festive Midget, Elaphria festivoides
Grateful Midget, Elaphria grata
Elaphria nucicolora
Variegated Midget, Elaphria versicolor
Explicit Arches, Lacinipolia explicata
Implicit Arches, Lacinipolia implicata
Lacinipolia stricta
Leucania adjuta
Unarmed Wainscot, Leucania inermis
Hitched Arches, Melanchra adjuncta
Bicolored Woodgrain, Morrisonia evicta
Armyworm Moth, Mythimna unipuncta
Bronzed Cutworm Moth, Nephelodes minians
Broken-lined Brocade, Oligia fractilinea
Rustic Quaker, Orthodes majuscula
Speckled Green Fruitworm Moth, Orthosia hibisci
